date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:40:02	59/59	---MC-	200	added ('OK')	text/plain	date:Tue,%2019%20Feb%202013%2015:40:01%20GMT	http://api.jquery.com/robots.txt		(from )
16:40:04	288964/288964	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:01%20GMT	http://api.jquery.com/	/Users/benoit/websites/api.jquery.com/api.jquery.com/index.html	(from )
16:40:04	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Tue,%2008%20Jan%202013%2017:34:41%20GMT	http://api.jquery.com/jquery-wp-content/themes/api.jquery.com/i/favicon.ico	/Users/benoit/websites/api.jquery.com/api.jquery.com/jquery-wp-content/themes/api.jquery.com/i/favicon.ico	(from )
16:40:05	210/210	---M--	200	added ('OK')	text/css	date:Tue,%2008%20Jan%202013%2017:34:41%20GMT	http://api.jquery.com/jquery-wp-content/themes/api.jquery.com/style.css	/Users/benoit/websites/api.jquery.com/api.jquery.com/jquery-wp-content/themes/api.jquery.com/style.css	(from )
16:40:06	102935/102935	---M--	200	added ('OK')	text/css	date:Thu,%2014%20Feb%202013%2018:40:00%20GMT	http://api.jquery.com/jquery-wp-content/themes/jquery/css/base.css?v=1	/Users/benoit/websites/api.jquery.com/api.jquery.com/jquery-wp-content/themes/jquery/css/base3860.css	(from )
16:40:07	5654/5654	---M--	200	added ('OK')	application/x-javascript	date:Wed,%2023%20Jan%202013%2021:40:24%20GMT	http://api.jquery.com/jquery-wp-content/themes/jquery/js/modernizr.custom.2.6.2.min.js	/Users/benoit/websites/api.jquery.com/api.jquery.com/jquery-wp-content/themes/jquery/js/modernizr.custom.2.6.2.min.js	(from )
16:40:07	42/42	---MC-	200	added ('OK')	text/plain	date:Tue,%2019%20Feb%202013%2015:40:04%20GMT	http://api.jquery.com/xmlrpc.php	/Users/benoit/websites/api.jquery.com/api.jquery.com/xmlrpc.php	(from )
16:40:08	6544/6544	---M--	200	added ('OK')	application/x-javascript	date:Wed,%2013%20Feb%202013%2019:01:14%20GMT	http://api.jquery.com/jquery-wp-content/themes/jquery/js/main.js	/Users/benoit/websites/api.jquery.com/api.jquery.com/jquery-wp-content/themes/jquery/js/main.js	(from )
16:40:09	54990/54990	---M--	200	added ('OK')	application/x-javascript	date:Wed,%2013%20Feb%202013%2019:01:14%20GMT	http://api.jquery.com/jquery-wp-content/themes/jquery/js/plugins.js	/Users/benoit/websites/api.jquery.com/api.jquery.com/jquery-wp-content/themes/jquery/js/plugins.js	(from )
16:40:09	723/723	---MC-	200	added ('OK')	text/xml	date:Tue,%2019%20Feb%202013%2015:40:07%20GMT	http://api.jquery.com/xmlrpc.php?rsd	/Users/benoit/websites/api.jquery.com/api.jquery.com/xmlrpc0db0.php	(from )
16:40:09	8465/8465	---M--	200	added ('OK')	image/jpeg	date:Tue,%2008%20Jan%202013%2017:08:52%20GMT	http://api.jquery.com/jquery-wp-content/themes/jquery/content/books/learning-jquery-3rd-ed.jpg	/Users/benoit/websites/api.jquery.com/api.jquery.com/jquery-wp-content/themes/jquery/content/books/learning-jquery-3rd-ed.jpg	(from )
16:40:10	7250/7250	---M--	200	added ('OK')	image/jpeg	date:Tue,%2008%20Jan%202013%2017:08:52%20GMT	http://api.jquery.com/jquery-wp-content/themes/jquery/content/books/jquery-in-action.jpg	/Users/benoit/websites/api.jquery.com/api.jquery.com/jquery-wp-content/themes/jquery/content/books/jquery-in-action.jpg	(from )
16:40:10	3452/3452	---M--	200	added ('OK')	image/jpeg	date:Tue,%2008%20Jan%202013%2017:08:52%20GMT	http://api.jquery.com/jquery-wp-content/themes/jquery/content/books/jquery-enlightenment.jpg	/Users/benoit/websites/api.jquery.com/api.jquery.com/jquery-wp-content/themes/jquery/content/books/jquery-enlightenment.jpg	(from )
16:40:10	855/855	---MC-	404	error ('Not%20Found')	text/xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d%22	http://api.jquery.com/comments/feed/	/Users/benoit/websites/api.jquery.com/api.jquery.com/comments/feed/index.html	(from http://api.jquery.com/)
16:40:11	49807/49807	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:09%20GMT	http://api.jquery.com/category/traversing/	/Users/benoit/websites/api.jquery.com/api.jquery.com/category/traversing/index.html	(from http://api.jquery.com/)
16:40:11	28849/28849	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:10%20GMT	http://api.jquery.com/category/traversing/miscellaneous-traversal/	/Users/benoit/websites/api.jquery.com/api.jquery.com/category/traversing/miscellaneous-traversal/index.html	(from http://api.jquery.com/)
16:40:12	54802/54802	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:10%20GMT	http://api.jquery.com/add/	/Users/benoit/websites/api.jquery.com/api.jquery.com/add/index.html	(from http://api.jquery.com/)
16:40:13	40983/40983	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:11%20GMT	http://api.jquery.com/addBack/	/Users/benoit/websites/api.jquery.com/api.jquery.com/addBack/index.html	(from http://api.jquery.com/)
16:40:14	35009/35009	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:12%20GMT	http://api.jquery.com/category/attributes/	/Users/benoit/websites/api.jquery.com/api.jquery.com/category/attributes/index.html	(from http://api.jquery.com/)
16:40:14	22406/22406	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Jan%202013%2021:40:24%20GMT	http://api.jquery.com/jquery-wp-content/themes/jquery/images/projectlogosfull-small.png	/Users/benoit/websites/api.jquery.com/api.jquery.com/jquery-wp-content/themes/jquery/images/projectlogosfull-small.png	(from http://api.jquery.com/)
16:40:14	67185/67185	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:13%20GMT	http://api.jquery.com/category/manipulation/	/Users/benoit/websites/api.jquery.com/api.jquery.com/category/manipulation/index.html	(from http://api.jquery.com/)
